arm,rep,time_us,cwnd,bytes_in_flight,smoothed_rtt,min_rtt,latest_rtt
quicgo,2,98007.54000000001,,158811,,,
quicgo,2,98021.888,,160091,,,
quicgo,2,98038.17,,161371,,,
quicgo,2,98798.804,163840,158811,30072,,32751
quicgo,2,98813.98400000001,,160091,,,
quicgo,2,98816.939,,161371,,,
quicgo,2,98820.416,,162651,,,
quicgo,2,98822.951,,163931,,,
quicgo,2,99807.815,166400,161371,30534,,33771
quicgo,2,99822.113,,162651,,,
quicgo,2,99826.021,,163931,,,
quicgo,2,99840.349,,165211,,,
quicgo,2,99843.00399999999,,166491,,,
quicgo,2,100972.065,168960,163931,30894,,33419
quicgo,2,100985.60100000001,,165211,,,
quicgo,2,100988.928,,166491,,,
quicgo,2,101008.416,,167771,,,
quicgo,2,101015.079,,169051,,,
quicgo,2,101921.455,171520,166491,31333,,34406
quicgo,2,101943.38799999999,,167771,,,
quicgo,2,101948.96900000001,,169051,,,
quicgo,2,101954.86,,170331,,,
quicgo,2,101976.23199999999,,171611,,,
quicgo,2,103097.167,174080,169051,31745,,34633
quicgo,2,103124.2,,170331,,,
quicgo,2,103129.541,,171611,,,
quicgo,2,103162.45499999999,,172891,,,
quicgo,2,103174.509,,173162,,,
quicgo,2,103505.099,,174442,,,
quicgo,2,104183.464,176640,171882,32242,,35725
quicgo,2,104201.359,,173162,,,
quicgo,2,104204.605,,174442,,,
quicgo,2,104225.135,,175722,,,
quicgo,2,104228.13100000001,,177002,,,
quicgo,2,105240.274,180480,174171,32728,,36134
quicgo,2,105263.95999999999,,175451,,,
quicgo,2,105267.507,,176731,,,
quicgo,2,105269.802,,178011,,,
quicgo,2,105292.306,,179291,,,
quicgo,2,105311.323,,180571,,,
quicgo,2,106383.011,183040,178011,33267,,37046
quicgo,2,106399.22300000001,,179291,,,
quicgo,2,106402.84,,180571,,,
quicgo,2,106416.376,,181851,,,
quicgo,2,106418.931,,183131,,,
quicgo,2,107347.814,185600,180571,33754,,37166
quicgo,2,107365.16799999999,,181851,,,
quicgo,2,107370.739,,183131,,,
quicgo,2,107387.84300000001,,184411,,,
quicgo,2,107392.64199999999,,185691,,,
quicgo,2,108481.51,188160,183131,34321,,38292
quicgo,2,108537.40000000001,,184411,,,
quicgo,2,108543.882,,185691,,,
quicgo,2,108550.285,,186971,,,
